Matricula 26183: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26210: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 26245: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26268: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 26273: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26275: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26307: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26314: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26322: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26336: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26345: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26346: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26347: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26361: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26434: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26463: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26497: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26545: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26561: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26578: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26609: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26611: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26662: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26681: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26702: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 26705: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26716: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26720: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 26742: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 26745: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 26781: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26787: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26805: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 26809: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26846: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26854: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26856: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26859: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26876: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 26892: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26910: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26925: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 26927: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26949: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26967: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 26997: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27005: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 27009: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27041: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27042: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27059: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 27071: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27088: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27113: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27119: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27145: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27154: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27163: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 27198: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 27212: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 27226: dias=0, valor_diario=0.0, total=0.0 (reason=no_valor_found) obs=Sem dias úteis no período | Valor unitário do sindicato/estado não encontrado | Desligamento após dia 15 (proporcional)
